MATRÍCULA;FOTO;FUNCIONÁRIO;CPF;ENDEREÇO;ID_LOCALIDADE;Cidade;Estado;CEP;FONE;EMAIL;ID_DEPTO;ID_CARGO;NPis;ADMISSÃO;SALÁRIO;;
1000;;ADEMAR ARAUJO DE BRITO;123.456.789-00;RUA  ARIOMAR LIMA  197;7;RIO DE JANEIRO;RJ;22011-456;(11)6021-2124;;1;3;112.312.31.45.6;10/12/1990;R$ 4.500,00;;
1001;;ADONILSON WELSOM BASTOS RODRIGUES;125.012.454-57;RUA 05 DE SETEMBRO 58;1;São Paulo;SP;21315-489;(11)2145-4657;;2;3;131.231.32.12.3;05/05/1991;R$ 4.870,00;;Id_Localidade
1002;;ALCIENE LIMA DE BRITO;021.548.741-02;RUA  T. Q/2;1;São Paulo;SP;12315-648;(11)3001-3163;;3;3;132.156.45.78.9;12/04/2000;R$ 3.000,00;;Chave Estrangeira
1003;;ANA MARIA LACET DE LIMA;032.652.014-58;RUA 05 DE SETEMBRO 255;1;São Paulo;SP;01515-645;(11)2232-3564;;6;11;178.978.94.56.4;23/05/2001;R$ 1.157,97;;Foreign Key
1004;;ARLETE DA SILVA NOGUEIRA;201.587.410-32;RUA  05 DE SETEMBRO S/N;1;São Paulo;SP;01215-641;(11)4545-6978;;9;5;148.978.41.32.1;14/07/2001;R$ 3.500,00;;FK 
1005;;BERILES MONTEIRO CORREA;630.521.985-21;RUA CORONEL GALDENCIO 915;7;Rio De Janeiro;RJ;10112-154;(11)4654-6577;;10;4;126.154.89.74.1;12/09/2004;R$ 5.200,00;;
1006;;CILDA FREITAS LACET DA COSTA;021.365.821-45;RUA LEONCIO SALIGNAC  232;1;São Paulo;SP;15641-840;(11)5456-4564;;7;6;121.894.01.60.4;13/06/2004;R$ 4.320,00;;
1007;;CILDENIR FREITAS LACET;320.522.154-51;RUA GONÇALVES LÊDO S/N;1;São Paulo;SP;15610-564;(11)5020-1212;;2;8;023.121.59.45.6;07/10/2006;R$ 3.150,00;;
1008;;COSMO LIMA FERREIRA;320.695.484-52;RUA PLINIO RAMOS COELHO 1005;1;São Paulo;SP;40545-645;(11)2342-3156;;2;9;999.525.64.56.7;12/12/2005;R$ 1.406,87;;
1009;;DOMINGOS SIQUEIRA BASTOS;165.944.894-59;AV  ANTONIO AGUIAR  650;1;São Paulo;SP;64564-566;(11)5454-8221;;2;10;126.489.70.47.8;13/04/2005;R$ 1.816,82;;
1010;;DORILENE MENEZES ALVES;158.498.456-16;RUA FRANCISCO BATISTA NETO 28;1;São Paulo;SP;65405-649;(11)2521-5411;;2;10;165.498.70.87.4;12/06/2005;R$ 1.816,82;;
1011;;EDILEUZO MARTINS DA SILVA;748.944.616-51;ZONA RURAL COMUNIDADE LAURO SODRÉ;1;São Paulo;SP;02154-712;(11)3265-8989;;1;7;456.450.78.71.2;14/08/2000;R$ 2.870,00;;
1012;;EGLAUCIO PERES DO NASCIMENTO;904.859.812-12;RUA  DO CAUA 39;7;Rio De Janeiro;RJ;10215-487;(11)7457-8741;;1;8;156.189.78.90.8;01/04/1990;R$ 2.140,00;;
1013;;FRANCISCO DA SILVA PAULO;501.858.451-21;RUA MANUEL MARQUES 773;5;Diadema;SP;01326-582;(11)4515-4571;;3;10;231.231.06.89.7;12/08/1990;R$ 2.079,00;;
1014;;JOÃO MARINHO DE LIRA FILHO;248.974.894-91;RUA MARECHAL DEODORO 402;5;Diadema;SP;32012-541;(11)2032-5644;;3;6;154.156.40.45.6;13/05/1990;R$ 3.165,00;;
1015;;JOSÉ ABDORAL DE LIMA;198.745.615-61;RUA  RUI BARBOSA  S/N;1;São Paulo;SP;33326-521;(11)2454-6578;;4;6;102.123.10.01.2;15/06/1995;R$ 3.165,00;;
